min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.408414000000000000e+03,8.133293000000000300e-01,8.218022000000000400e-01,-2.523388999999999800e-01,-2.950029000000000100e-01,2.800000000000000000e+01,1.800884000000000200e-02,-2.283891000000000000e+04,8.300106999999999900e-01,0.000000000000000000e+00,1.408414000000000100e+00,1.406483817561828400e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.408737000000000100e+03,8.192878000000000100e-01,8.178526999999999900e-01,2.513821000000000000e-01,2.082344999999999900e-01,7.300000000000000000e+01,1.800884000000000200e-02,-2.563568000000000000e+04,8.260551999999999900e-01,0.000000000000000000e+00,1.408737000000000100e+00,1.406806374901554200e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.408568000000000000e+03,8.178938000000000000e-01,-8.223291000000000400e-01,-2.504815000000000200e-01,-2.071009000000000000e-01,3.600000000000000000e+01,1.800884000000000200e-02,-2.439443000000000000e+04,8.256879000000000300e-01,0.000000000000000000e+00,1.408568000000000000e+00,1.406637606510180700e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.408785000000000100e+03,8.155232000000000000e-01,-8.181389999999999500e-01,2.535948000000000100e-01,2.960652999999999800e-01,8.100000000000000000e+01,1.800884000000000200e-02,-2.607477000000000000e+04,8.158396000000000000e-01,0.000000000000000000e+00,1.408785000000000200e+00,1.406854309119222500e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.408338000000000000e+03,-8.174668000000000500e-01,8.183447000000000400e-01,-2.502287000000000300e-01,-2.927145999999999900e-01,2.900000000000000000e+01,1.800884000000000200e-02,-2.321908000000000200e+04,8.250267000000000000e-01,0.000000000000000000e+00,1.408337999999999900e+00,1.406407921717187000e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.408701000000000000e+03,-8.226000000000000000e-01,8.218425999999999800e-01,2.528953999999999900e-01,2.095369000000000000e-01,7.300000000000000000e+01,1.800884000000000200e-02,-2.519232000000000000e+04,8.132441000000000300e-01,0.000000000000000000e+00,1.408701000000000000e+00,1.406770424238302800e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.410064000000000100e+03,8.226670999999999800e-01,-8.217221000000000100e-01,-2.526400999999999800e-01,-1.947041999999999900e-01,3.700000000000000000e+01,1.800701999999999900e-02,-2.489750999999999800e+04,8.277822999999999700e-01,0.000000000000000000e+00,1.410064000000000000e+00,1.406629154965568700e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.410097000000000000e+03,8.126314999999999500e-01,-8.214502000000000200e-01,2.513203000000000000e-01,3.080095999999999900e-01,8.200000000000000000e+01,1.800701999999999900e-02,-2.435866999999999800e+04,8.215318999999999800e-01,0.000000000000000000e+00,1.410096999999999900e+00,1.406662074579227300e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.410195999999999900e+03,-8.199971999999999800e-01,-8.214240000000000400e-01,-2.522780000000000000e-01,-1.943639000000000100e-01,3.700000000000000000e+01,1.800701999999999900e-02,-2.487709999999999900e+04,8.205628999999999800e-01,0.000000000000000000e+00,1.410196000000000000e+00,1.406760833420203100e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.410093000000000100e+03,-8.191734000000000500e-01,-8.209459999999999500e-01,2.514271000000000100e-01,3.080808999999999900e-01,8.200000000000000000e+01,1.800701999999999900e-02,-2.464363000000000100e+04,8.223844999999999600e-01,0.000000000000000000e+00,1.410093000000000000e+00,1.406658084323026300e+00
