file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=7.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 1.06803192138672E+0003	 9.02328783475472E-0005
 1.07248205439250E+0003	 9.50119023030533E-0005
 1.07693218739827E+0003	 9.85753453729367E-0005
 1.08138232040405E+0003	 1.00885232474724E-0004
 1.08583245340983E+0003	 1.01924774738822E-0004
 1.09028258641561E+0003	 1.01697196016850E-0004
 1.09473271942139E+0003	 1.00224874843387E-0004
 1.09918285242716E+0003	 9.75491325953071E-0005
 1.10363298543294E+0003	 9.37310706126738E-0005
 1.10808311843872E+0003	 8.88540031307365E-0005
 1.11253325144450E+0003	 8.30283292044293E-0005
 1.11698338445028E+0003	 7.64002887387009E-0005
 1.12143351745605E+0003	 6.91672261869981E-0005
 1.12588365046183E+0003	 6.16040876619132E-0005
 1.13033378346761E+0003	 5.41085968037340E-0005
 1.13478391647339E+0003	 4.72707503150004E-0005
 1.13923404947917E+0003	 4.19409174276314E-0005
 1.14368418248494E+0003	 3.91550818848989E-0005
 1.14813431549072E+0003	 3.96783653151651E-0005
 1.15258444849650E+0003	 4.34138258738540E-0005
 1.15703458150228E+0003	 4.95028792044141E-0005
 1.16148471450806E+0003	 5.69541763040228E-0005
 1.16593484751383E+0003	 6.50045290354868E-0005
 1.17038498051961E+0003	 7.31484277376371E-0005
 1.17483511352539E+0003	 8.10737371544054E-0005
 1.17928524653117E+0003	 8.86058752282520E-0005
 1.18373537953695E+0003	 9.56719169543634E-0005
 1.18818551254272E+0003	 1.02276105956512E-0004
 1.19263564554850E+0003	 1.08478990748714E-0004
 1.19708577855428E+0003	 1.14376058961453E-0004
 1.20153591156006E+0003	 1.20075073812909E-0004
 1.20598604456584E+0003	 1.25673952583174E-0004
 1.21043617757161E+0003	 1.31242634329573E-0004
 1.21488631057739E+0003	 1.36812494732835E-0004
 1.21933644358317E+0003	 1.42375340717122E-0004
 1.22378657658895E+0003	 1.47891389392348E-0004
 1.22823670959473E+0003	 1.53302944323375E-0004
 1.23268684260050E+0003	 1.58548728332763E-0004
 1.23713697560628E+0003	 1.63573549974719E-0004
 1.24158710861206E+0003	 1.68329222148091E-0004
 1.24603724161784E+0003	 1.72765207068375E-0004
 1.25048737462362E+0003	 1.76810970647337E-0004
 1.25493750762939E+0003	 1.80355879396927E-0004
 1.25938764063517E+0003	 1.83235755780645E-0004
 1.26383777364095E+0003	 1.85237046683917E-0004
 1.26828790664673E+0003	 1.86129764532098E-0004
 1.27273803965251E+0003	 1.85739816803698E-0004
 1.27718817265828E+0003	 1.84071287019170E-0004
 1.28163830566406E+0003	 1.81488480780599E-0004
 1.28608843866984E+0003	 1.78955745609029E-0004
 1.29053857167562E+0003	 1.78279237852303E-0004
 1.29498870468140E+0003	 1.82157254753979E-0004
 1.29943883768717E+0003	 1.93707416776019E-0004
 1.30388897069295E+0003	 2.15407958509704E-0004
 1.30833910369873E+0003	 2.48167934992279E-0004
 1.31278923670451E+0003	 2.91306463626890E-0004
 1.31723936971029E+0003	 3.43179118680445E-0004
 1.32168950271606E+0003	 4.01748567571497E-0004
 1.32613963572184E+0003	 4.64861547507712E-0004
 1.33058976872762E+0003	 5.30339527378882E-0004
 1.33503990173340E+0003	 5.96007507303114E-0004
 1.33949003473918E+0003	 6.59719175103757E-0004
 1.34394016774495E+0003	 7.19394602254457E-0004
 1.34839030075073E+0003	 7.73070167487264E-0004
 1.35284043375651E+0003	 8.18955627368524E-0004
 1.35729056676229E+0003	 8.55492578947792E-0004
 1.36174069976807E+0003	 8.81409096818537E-0004
 1.36619083277384E+0003	 8.95766175549461E-0004
 1.37064096577962E+0003	 8.97992533957597E-0004
 1.37509109878540E+0003	 8.87905292470066E-0004
 1.37954123179118E+0003	 8.65715007032106E-0004
 1.38399136479696E+0003	 8.32014516389951E-0004
 1.38844149780273E+0003	 7.87752007496020E-0004
 1.39289163080851E+0003	 7.34189593108806E-0004
 1.39734176381429E+0003	 6.72849493074727E-0004
 1.40179189682007E+0003	 6.05450590626823E-0004
 1.40624202982585E+0003	 5.33838691087445E-0004
 1.41069216283162E+0003	 4.59914280481055E-0004
 1.41514229583740E+0003	 3.85562115400521E-0004
 1.41959242884318E+0003	 3.12588058120681E-0004
 1.42404256184896E+0003	 2.42671892177031E-0004
 1.42849269485473E+0003	 1.77357389337466E-0004
 1.43294282786051E+0003	 1.18159579358063E-0004
 1.43739296086629E+0003	 6.72540346905403E-0005
 1.44184309387207E+0003	 3.29979669373965E-0005
 1.44629322687785E+0003	 4.09573856511859E-0005
 1.45074335988362E+0003	 6.74960331977319E-0005
 1.45519349288940E+0003	 9.13705481375106E-0005
 1.45964362589518E+0003	 1.09917818142128E-0004
 1.46409375890096E+0003	 1.23152043816709E-0004
 1.46854389190674E+0003	 1.31678501328059E-0004
 1.47299402491251E+0003	 1.36314336493486E-0004
 1.47744415791829E+0003	 1.37949807799092E-0004
 1.48189429092407E+0003	 1.37462832809279E-0004
 1.48634442392985E+0003	 1.35652575429247E-0004
