file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=8.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 3.86110665457589E+0002	 3.62199100298832E-0005
 3.88601702008928E+0002	 3.51170013464140E-0005
 3.91092738560268E+0002	 3.51165394764990E-0005
 3.93583775111607E+0002	 3.61097336572879E-0005
 3.96074811662946E+0002	 3.79314896657551E-0005
 3.98565848214286E+0002	 4.04086885831239E-0005
 4.01056884765625E+0002	 4.33798175669214E-0005
 4.03547921316964E+0002	 4.66883342744796E-0005
 4.06038957868303E+0002	 5.01661061032925E-0005
 4.08529994419643E+0002	 5.36206188411992E-0005
 4.11021030970982E+0002	 5.68318593979913E-0005
 4.13512067522321E+0002	 5.95587752436059E-0005
 4.16003104073661E+0002	 6.15524231107875E-0005
 4.18494140625000E+0002	 6.25724462843714E-0005
 4.20985177176339E+0002	 6.24041143487219E-0005
 4.23476213727678E+0002	 6.08739793436168E-0005
 4.25967250279018E+0002	 5.78628976291116E-0005
 4.28458286830357E+0002	 5.33157005795081E-0005
 4.30949323381696E+0002	 4.72472872290900E-0005
 4.33440359933036E+0002	 3.97456582713365E-0005
 4.35931396484375E+0002	 3.09745689053551E-0005
 4.38422433035714E+0002	 2.11894136362024E-0005
 4.40913469587053E+0002	 1.08872131124237E-0005
 4.43404506138393E+0002	 4.57216306027837E-0006
 4.45895542689732E+0002	 1.35693401270992E-0005
 4.48386579241071E+0002	 2.46420347833438E-0005
 4.50877615792411E+0002	 3.54996389047455E-0005
 4.53368652343750E+0002	 4.56958981490288E-0005
 4.55859688895089E+0002	 5.49384550061158E-0005
 4.58350725446428E+0002	 6.30050852163212E-0005
 4.60841761997768E+0002	 6.97357190324069E-0005
 4.63332798549107E+0002	 7.50327416233042E-0005
 4.65823835100446E+0002	 7.88605801408930E-0005
 4.68314871651786E+0002	 8.12427475134856E-0005
 4.70805908203125E+0002	 8.22560753864374E-0005
 4.73296944754464E+0002	 8.20224032651017E-0005
 4.75787981305803E+0002	 8.06982504273804E-0005
 4.78279017857143E+0002	 7.84631465554936E-0005
 4.80770054408482E+0002	 7.55073816851672E-0005
 4.83261090959821E+0002	 7.20199731582750E-0005
 4.85752127511161E+0002	 6.81776457119774E-0005
 4.88243164062500E+0002	 6.41355832487720E-0005
 4.90734200613839E+0002	 6.00206304630857E-0005
 4.93225237165178E+0002	 5.59274824147921E-0005
 4.95716273716518E+0002	 5.19181815041693E-0005
 4.98207310267857E+0002	 4.80249436939439E-0005
 5.00698346819196E+0002	 4.42560007522280E-0005
 5.03189383370535E+0002	 4.06038617882708E-0005
 5.05680419921875E+0002	 3.70552723455810E-0005
 5.08171456473214E+0002	 3.36022512404019E-0005
 5.10662493024553E+0002	 3.02538885346465E-0005
 5.13153529575893E+0002	 2.70489082206420E-0005
 5.15644566127232E+0002	 2.40687903377572E-0005
 5.18135602678571E+0002	 2.14490094266249E-0005
 5.20626639229911E+0002	 1.93786367258316E-0005
 5.23117675781250E+0002	 1.80658342954070E-0005
 5.25608712332589E+0002	 1.76502080953096E-0005
 5.28099748883928E+0002	 1.81042754591240E-0005
 5.30590785435268E+0002	 1.92260272417387E-0005
 5.33081821986607E+0002	 2.07366062471551E-0005
 5.35572858537946E+0002	 2.23835767181021E-0005
 5.38063895089286E+0002	 2.39911898628433E-0005
 5.40554931640625E+0002	 2.54724771806472E-0005
 5.43045968191964E+0002	 2.68277388123554E-0005
 5.45537004743303E+0002	 2.81378640718033E-0005
 5.48028041294643E+0002	 2.95494569755467E-0005
 5.50519077845982E+0002	 3.12455604906298E-0005
 5.53010114397321E+0002	 3.34009809740859E-0005
 5.55501150948661E+0002	 3.61333011956088E-0005
 5.57992187500000E+0002	 3.94694678275056E-0005
 5.60483224051339E+0002	 4.33412670601861E-0005
 5.62974260602678E+0002	 4.76056737499969E-0005
 5.65465297154018E+0002	 5.20754277538127E-0005
 5.67956333705357E+0002	 5.65475957907806E-0005
 5.70447370256696E+0002	 6.08252951574890E-0005
 5.72938406808036E+0002	 6.47327112500788E-0005
 5.75429443359375E+0002	 6.81250200439387E-0005
 5.77920479910714E+0002	 7.08945858585858E-0005
 5.80411516462053E+0002	 7.29742143694677E-0005
 5.82902553013393E+0002	 7.43378067643122E-0005
 5.85393589564732E+0002	 7.49985443556628E-0005
 5.87884626116071E+0002	 7.50046740556263E-0005
 5.90375662667410E+0002	 7.44330084215137E-0005
 5.92866699218750E+0002	 7.33803754607419E-0005
 5.95357735770089E+0002	 7.19534532286290E-0005
 5.97848772321428E+0002	 7.02577047507780E-0005
 6.00339808872768E+0002	 6.83864610704764E-0005
 6.02830845424107E+0002	 6.64114911129156E-0005
 6.05321881975446E+0002	 6.43764870571039E-0005
 6.07812918526785E+0002	 6.22946219605910E-0005
 6.10303955078125E+0002	 6.01506642755203E-0005
 6.12794991629464E+0002	 5.79072418924029E-0005
 6.15286028180803E+0002	 5.55140883733973E-0005
 6.17777064732143E+0002	 5.29188067178654E-0005
 6.20268101283482E+0002	 5.00779741493825E-0005
 6.22759137834821E+0002	 4.69681811470154E-0005
 6.25250174386160E+0002	 4.35976641171013E-0005
 6.27741210937500E+0002	 4.00204346330201E-0005
 6.30232247488839E+0002	 3.63560802047697E-0005
 6.32723284040178E+0002	 3.28186605395790E-0005
 6.35214320591518E+0002	 2.97523319362457E-0005
 6.37705357142857E+0002	 2.76453422258471E-0005
 6.40196393694196E+0002	 2.70416932062103E-0005
 6.42687430245535E+0002	 2.82921591439070E-0005
 6.45178466796875E+0002	 3.13333089240427E-0005
 6.47669503348214E+0002	 3.57674919321020E-0005
 6.50160539899553E+0002	 4.11097927711556E-0005
 6.52651576450893E+0002	 4.69349558315494E-0005
 6.55142613002232E+0002	 5.29030443860413E-0005
 6.57633649553571E+0002	 5.87413193263780E-0005
