Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 6.55824846453949E+0001	 5.71854838709677E+0002	 3.18596000000000E+0002	 1.80680000000000E+0001	 4.95492000000000E+0002	 2.50030000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.54733000000000E+0000	-4.29000000000000E+0001
 6.72486254537937E+0001	 5.71806451612903E+0002	 3.18794000000000E+0002	 1.80520000000000E+0001	 4.95583000000000E+0002	 2.49960000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 1.58648000000000E+0000	-4.29000000000000E+0001
 6.89177088149471E+0001	 5.71854838709677E+0002	 3.18529000000000E+0002	 1.80740000000000E+0001	 4.95360000000000E+0002	 2.50090000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.62600000000000E+0000	-4.29000000000000E+0001
 7.05877772174955E+0001	 5.71758064516129E+0002	 3.18573000000000E+0002	 1.80700000000000E+0001	 4.95396000000000E+0002	 2.50070000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.66476000000000E+0000	-4.29000000000000E+0001
 7.22382945318469E+0001	 5.71854838709677E+0002	 3.18622000000000E+0002	 1.80660000000000E+0001	 4.95519000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.70391000000000E+0000	-4.29000000000000E+0001
 7.39064029087496E+0001	 5.71951612903226E+0002	 3.18555000000000E+0002	 1.80720000000000E+0001	 4.95574000000000E+0002	 2.49970000000000E+0001	 6.47929000000000E-0003	-3.62399000000000E-0005	 5.89026363636364E+0000	 1.74268000000000E+0000	-4.29000000000000E+0001
 7.55569336326265E+0001	 5.71806451612903E+0002	 3.18587000000000E+0002	 1.80690000000000E+0001	 4.95540000000000E+0002	 2.49980000000000E+0001	 6.47929000000000E-0003	-3.62399000000000E-0005	 5.89026363636364E+0000	 1.78220000000000E+0000	-4.29000000000000E+0001
 7.72269875081889E+0001	 5.71709677419355E+0002	 3.18591000000000E+0002	 1.80690000000000E+0001	 4.95736000000000E+0002	 2.49870000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.82059000000000E+0000	-4.29000000000000E+0001
 7.88745767967717E+0001	 5.71709677419355E+0002	 3.18681000000000E+0002	 1.80610000000000E+0001	 4.95522000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.86011000000000E+0000	-4.29000000000000E+0001
 8.05456204629359E+0001	 5.71854838709677E+0002	 3.18550000000000E+0002	 1.80720000000000E+0001	 4.95426000000000E+0002	 2.50050000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.89888000000000E+0000	-4.29000000000000E+0001
 8.22000441396881E+0001	 5.71661290322581E+0002	 3.18635000000000E+0002	 1.80650000000000E+0001	 4.95578000000000E+0002	 2.49960000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.93802000000000E+0000	-4.29000000000000E+0001
 8.38652205797106E+0001	 5.71758064516129E+0002	 3.18759000000000E+0002	 1.80520000000000E+0001	 4.95547000000000E+0002	 2.49990000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.97754000000000E+0000	-4.29000000000000E+0001
 8.55382164492973E+0001	 5.71758064516129E+0002	 3.18642000000000E+0002	 1.80650000000000E+0001	 4.95581000000000E+0002	 2.49960000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.01706000000000E+0000	-4.29000000000000E+0001
 8.72219357488172E+0001	 5.71854838709677E+0002	 3.18845000000000E+0002	 1.80480000000000E+0001	 4.95540000000000E+0002	 2.49980000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.05621000000000E+0000	-4.29000000000000E+0001
 8.88890638335319E+0001	 5.71854838709677E+0002	 3.18796000000000E+0002	 1.80500000000000E+0001	 4.95417000000000E+0002	 2.50060000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.09573000000000E+0000	-4.29000000000000E+0001
 9.05679174308467E+0001	 5.71661290322581E+0002	 3.19036000000000E+0002	 1.80310000000000E+0001	 4.95571000000000E+0002	 2.49970000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.13525000000000E+0000	-4.29000000000000E+0001
 9.22409038020195E+0001	 5.71564516129032E+0002	 3.18771000000000E+0002	 1.80540000000000E+0001	 4.95570000000000E+0002	 2.49970000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.17439000000000E+0000	-4.29000000000000E+0001
 9.39090091059059E+0001	 5.71709677419355E+0002	 3.18823000000000E+0002	 1.80490000000000E+0001	 4.95448000000000E+0002	 2.50050000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.21392000000000E+0000	-4.29000000000000E+0001
 9.55888393636621E+0001	 5.71709677419355E+0002	 3.19061000000000E+0002	 1.80290000000000E+0001	 4.95403000000000E+0002	 2.50060000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.25306000000000E+0000	-4.29000000000000E+0001
 9.72569371246904E+0001	 5.82375000000000E+0002	 3.18916000000000E+0002	 1.80420000000000E+0001	 4.95530000000000E+0002	 2.49990000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 2.29258000000000E+0000	-4.29000000000000E+0001
 9.89309029499559E+0001	 5.82541666666667E+0002	 3.19171000000000E+0002	 1.80200000000000E+0001	 4.95593000000000E+0002	 2.49950000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.33135000000000E+0000	-4.29000000000000E+0001
 1.00582409775544E+0002	 5.82333333333333E+0002	 3.18980000000000E+0002	 1.80360000000000E+0001	 4.95637000000000E+0002	 2.49930000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.37087000000000E+0000	-4.29000000000000E+0001
 1.02255391956240E+0002	 5.82375000000000E+0002	 3.18978000000000E+0002	 1.80360000000000E+0001	 4.95670000000000E+0002	 2.49910000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.41001000000000E+0000	-4.29000000000000E+0001
 1.03932286366004E+0002	 5.82458333333333E+0002	 3.19119000000000E+0002	 1.80240000000000E+0001	 4.95514000000000E+0002	 2.50000000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.44954000000000E+0000	-4.29000000000000E+0001
 1.05612104052330E+0002	 5.82500000000000E+0002	 3.19141000000000E+0002	 1.80230000000000E+0001	 4.95386000000000E+0002	 2.50070000000000E+0001	 6.47929000000000E-0003	-3.62399000000000E-0005	 5.89026363636364E+0000	 2.48906000000000E+0000	-4.29000000000000E+0001
 1.07281184619833E+0002	 5.82708333333333E+0002	 3.19190000000000E+0002	 1.80190000000000E+0001	 4.95506000000000E+0002	 2.50020000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.52820000000000E+0000	-4.29000000000000E+0001
 1.08964926268562E+0002	 5.82500000000000E+0002	 3.19163000000000E+0002	 1.80210000000000E+0001	 4.95481000000000E+0002	 2.50020000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.56772000000000E+0000	-4.29000000000000E+0001
 1.10634006277334E+0002	 5.82458333333333E+0002	 3.19175000000000E+0002	 1.80200000000000E+0001	 4.95302000000000E+0002	 2.50120000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 2.60724000000000E+0000	-4.29000000000000E+0001
 1.12298197117231E+0002	 5.82375000000000E+0002	 3.19297000000000E+0002	 1.80090000000000E+0001	 4.95522000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.64601000000000E+0000	-4.29000000000000E+0001
 1.13952631409858E+0002	 5.82541666666667E+0002	 3.19208000000000E+0002	 1.80170000000000E+0001	 4.95563000000000E+0002	 2.49970000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.68515000000000E+0000	-4.29000000000000E+0001
 1.15624738339649E+0002	 5.82375000000000E+0002	 3.19381000000000E+0002	 1.80020000000000E+0001	 4.95663000000000E+0002	 2.49900000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.72467000000000E+0000	-4.29000000000000E+0001
 1.17296649434495E+0002	 5.82333333333333E+0002	 3.19403000000000E+0002	 1.80010000000000E+0001	 4.95481000000000E+0002	 2.50020000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.76382000000000E+0000	-4.29000000000000E+0001
 1.18967695614945E+0002	 5.82500000000000E+0002	 3.19419000000000E+0002	 1.79990000000000E+0001	 4.95446000000000E+0002	 2.50040000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.80334000000000E+0000	-4.29000000000000E+0001
