T	B32KOP1 Rho_mr
1.718242905811623302e+02	5.431156464359658820e-01
1.724238737474950085e+02	5.445205100697838585e-01
1.730234569138276584e+02	5.457727097974162112e-01
1.736230400801603366e+02	5.471586202285997347e-01
1.742226232464929865e+02	5.486394965871549401e-01
1.748222064128256648e+02	5.499593386268718520e-01
1.754217895791583146e+02	5.515415520124671289e-01
1.760213727454909929e+02	5.527699775914913793e-01
1.766209559118236427e+02	5.542703529497413628e-01
1.772205390781563210e+02	5.556018006592086111e-01
1.778201222444889709e+02	5.571965632732286400e-01
1.784197054108216491e+02	5.584187247320867575e-01
1.790192885771543274e+02	5.599460538813261223e-01
1.796188717434869773e+02	5.615101660513658333e-01
1.802184549098196555e+02	5.629209500712455405e-01
1.808180380761523054e+02	5.640695351391475931e-01
1.814176212424849837e+02	5.653535445324058273e-01
1.820172044088176335e+02	5.666883008576837355e-01
1.826167875751503118e+02	5.681717896466575990e-01
1.832163707414829616e+02	5.694462250954968052e-01
1.838159539078156399e+02	5.709159336869902290e-01
1.844155370741482898e+02	5.721551658458515766e-01
1.850151202404809681e+02	5.734706732247112360e-01
1.856147034068136463e+02	5.747378553841769877e-01
1.862142865731462962e+02	5.764007519196352458e-01
1.868138697394789745e+02	5.776528350486210828e-01
1.874134529058116243e+02	5.791190133206991497e-01
1.880130360721443026e+02	5.806087112064268752e-01
1.886126192384769524e+02	5.817878026543024106e-01
1.892122024048096307e+02	5.833154731452017128e-01
1.898117855711422806e+02	5.847365807160173068e-01
1.904113687374749588e+02	5.861060651213746420e-01
1.910109519038076371e+02	5.873338104820771122e-01
1.916105350701402870e+02	5.886117940593579290e-01
1.922101182364729652e+02	5.899538621917534975e-01
1.928097014028056151e+02	5.913247558310429364e-01
1.934092845691382934e+02	5.928582753442989128e-01
1.940088677354709432e+02	5.939312016356442792e-01
1.946084509018036215e+02	5.954124964376685814e-01
1.952080340681362713e+02	5.966966040958872064e-01
1.958076172344689496e+02	5.982746630431976520e-01
1.964072004008015995e+02	5.994141709967778509e-01
1.970067835671342777e+02	6.010295288327077712e-01
1.976063667334669560e+02	6.022065511106375890e-01
1.982059498997996059e+02	6.038270964518063222e-01
1.988055330661322841e+02	6.052085813766603373e-01
1.994051162324649340e+02	6.064363983999725427e-01
2.000046993987976123e+02	6.080350677722365926e-01
2.006042825651302621e+02	6.091872527703058315e-01
2.012038657314629404e+02	6.104410130131930901e-01
2.018034488977955903e+02	6.117588905612537653e-01
2.024030320641282685e+02	6.130446922738753690e-01
2.030026152304609184e+02	6.143776787174338727e-01
2.036021983967935967e+02	6.159344567286947347e-01
2.042017815631262749e+02	6.170319783982415318e-01
2.048013647294589248e+02	6.184678680923095806e-01
2.054009478957916031e+02	6.197011583678975200e-01
2.060005310621242529e+02	6.210084512094021791e-01
2.066001142284569312e+02	6.223907208470453867e-01
2.071996973947895810e+02	6.238104356659410765e-01
2.077992805611222593e+02	6.251628321332599603e-01
2.083988637274549092e+02	6.267200753193588048e-01
2.089984468937875874e+02	6.278851437674325409e-01
2.095980300601202373e+02	6.294663945115870352e-01
2.101976132264529156e+02	6.306987911837246275e-01
2.107971963927855938e+02	6.319774780760293309e-01
2.113967795591182437e+02	6.332050702672770148e-01
2.119963627254509220e+02	6.344992705962309021e-01
2.125959458917835718e+02	6.358301811475298715e-01
2.131955290581162501e+02	6.373185058847065099e-01
2.137951122244489000e+02	6.384098176104614497e-01
2.143946953907815782e+02	6.396963295578710351e-01
2.149942785571142281e+02	6.409996033517338931e-01
2.155938617234469064e+02	6.423466675816168481e-01
2.161934448897795562e+02	6.437053815656287314e-01
2.167930280561122345e+02	6.450316256181662933e-01
2.173926112224449128e+02	6.463746795018120439e-01
2.179921943887775626e+02	6.477575944066108482e-01
2.185917775551102409e+02	6.491192959153644360e-01
2.191913607214428907e+02	6.504862220606572043e-01
2.197909438877755690e+02	6.517857855766902020e-01
2.203905270541082189e+02	6.531027706057558335e-01
2.209901102204408971e+02	6.543857248648248248e-01
2.215896933867735470e+02	6.557443351439865564e-01
2.221892765531062253e+02	6.570096289519926636e-01
2.227888597194388751e+02	6.582772857431126168e-01
2.233884428857715534e+02	6.595492892370529159e-01
2.239880260521042317e+02	6.609265104149604220e-01
2.245876092184368815e+02	6.622637291775209656e-01
2.251871923847695598e+02	6.635269830721228779e-01
