T	B00KOD1A Rho_mr	Err
6.650619999999999266e+01	7.060209090259135511e-02	3.219469600257649639e-02
6.750619999999999266e+01	7.094958687772900952e-02	3.235315486886008313e-02
6.850619999999999266e+01	7.130187263616097337e-02	3.251379788599681464e-02
6.950619999999999266e+01	7.165823811898533457e-02	3.267630126569374960e-02
7.050619999999999266e+01	7.199681787203481009e-02	3.283069431670260219e-02
7.150619999999999266e+01	7.234359257681423350e-02	3.298882428224654551e-02
7.250619999999999266e+01	7.269298702522639100e-02	3.314814885617647228e-02
7.350619999999999266e+01	7.305035959268846302e-02	3.331111146850158217e-02
7.450619999999999266e+01	7.340876688414246787e-02	3.347454591705621013e-02
7.550619999999999266e+01	7.375676799767433289e-02	3.363323512746747845e-02
7.650619999999999266e+01	7.411435283018608100e-02	3.379629453308382464e-02
7.750619999999999266e+01	7.447029248528888590e-02	3.395860373447995295e-02
7.850619999999999266e+01	7.482954865527434440e-02	3.412242527335886816e-02
7.950619999999999266e+01	7.519821954191620306e-02	3.429053994204214750e-02
8.050619999999999266e+01	7.554744992296222317e-02	3.444978970092184983e-02
8.150619999999999266e+01	7.597050680177046267e-02	3.464270449184243816e-02
8.250619999999999266e+01	7.627542960715587295e-02	3.478174990676053541e-02
8.350619999999999266e+01	7.664853644145358524e-02	3.495188737653138339e-02
8.450619999999999266e+01	7.702178988111450797e-02	3.512209169864386610e-02
8.550619999999999266e+01	7.739532199813245472e-02	3.529242309819382445e-02
8.650619999999999266e+01	7.775901375243952918e-02	3.545826727247918669e-02
8.750619999999999266e+01	7.813050286701540836e-02	3.562766705879057832e-02
8.850619999999999266e+01	7.850932746619201930e-02	3.580041184089081258e-02
8.950619999999999266e+01	7.888335008442511065e-02	3.597096690998521917e-02
9.050619999999999266e+01	7.924482113989750331e-02	3.613579844111822204e-02
9.150619999999999266e+01	7.961016751830359006e-02	3.630239712733351887e-02
9.250619999999999266e+01	7.998928392219470385e-02	3.647527497297275295e-02
9.350619999999999266e+01	8.037848014386703155e-02	3.665274923587212574e-02
9.450619999999999266e+01	8.076402475675463488e-02	3.682855835779279274e-02
9.550619999999999266e+01	8.114574768326658638e-02	3.700262478300987701e-02
9.650619999999999266e+01	8.154045581559225819e-02	3.718261248829615034e-02
9.750619999999997844e+01	8.192295745148281405e-02	3.735703400656215090e-02
9.850619999999997844e+01	8.232182092847639687e-02	3.753891655740693861e-02
9.950619999999997844e+01	8.270374385802164996e-02	3.771307418441103426e-02
1.005061999999999784e+02	8.307165028943640228e-02	3.788084025996725501e-02
1.015061999999999784e+02	8.343987761764612432e-02	3.804875266510988896e-02
1.025061999999999784e+02	8.381144297012511901e-02	3.821818721605903246e-02
1.035061999999999784e+02	8.419104053573313318e-02	3.839128447241265535e-02
1.045061999999999784e+02	8.458476963419532535e-02	3.857082573628043548e-02
1.055061999999999784e+02	8.498234957866447614e-02	3.875212299370253688e-02
1.065061999999999784e+02	8.538674542491891950e-02	3.893652831610055348e-02
1.075061999999999784e+02	8.580502657911640019e-02	3.912726536695608492e-02
1.085061999999999784e+02	8.623153529284950658e-02	3.932175420157194706e-02
1.095061999999999784e+02	8.664584567856148389e-02	3.951068057398079980e-02
1.105061999999999784e+02	8.703676793622411312e-02	3.968894191277674843e-02
1.115061999999999784e+02	8.741513185354522764e-02	3.986147662302071820e-02
1.125061999999999784e+02	8.780243915917561315e-02	4.003808953639110407e-02
1.135061999999999784e+02	8.819962990498260436e-02	4.021920931843743496e-02
1.145061999999999784e+02	8.859952291840696159e-02	4.040156133997337834e-02
1.155061999999999784e+02	8.901470395320294771e-02	4.059088473012244236e-02
1.165061999999999784e+02	8.943592559042770618e-02	4.078296264717549274e-02
1.175061999999999784e+02	8.986327947548522488e-02	4.097783688162172366e-02
1.185061999999999784e+02	9.029940858765415912e-02	4.117671263734862253e-02
1.195061999999999784e+02	9.072619029449335848e-02	4.137132595737205015e-02
1.205061999999999784e+02	9.113620705176644909e-02	4.155829442654362937e-02
1.215061999999999784e+02	9.153539292733650634e-02	4.174032399179022912e-02
1.225061999999999784e+02	9.193325190628603982e-02	4.192174848949877658e-02
1.235061999999999784e+02	9.235133401277027809e-02	4.211239477419519844e-02
