T	B16KOD1A Rho_mr
8.622569539078156708e+01	8.665596212025802325e-01
8.681924068136272865e+01	8.697900335458088605e-01
8.741278597194389022e+01	8.725411553373358942e-01
8.800633126252505178e+01	8.763527404427894352e-01
8.859987655310621335e+01	8.797496239055492273e-01
8.919342184368737492e+01	8.828347993112621861e-01
8.978696713426853648e+01	8.860923008405252599e-01
9.038051242484969805e+01	8.890435161131436947e-01
9.097405771543085962e+01	8.924336268275471218e-01
9.156760300601202118e+01	8.955173245849363806e-01
9.216114829659318275e+01	8.984965315155949428e-01
9.275469358717434432e+01	9.016870363356194185e-01
9.334823887775550588e+01	9.053607792815072663e-01
9.394178416833666745e+01	9.084192399215214042e-01
9.453532945891782902e+01	9.118686937972505513e-01
9.512887474949899058e+01	9.151508113562976110e-01
9.572242004008015215e+01	9.180453130208673374e-01
9.631596533066132793e+01	9.211626853192561581e-01
9.690951062124248949e+01	9.244179611541765151e-01
9.750305591182365106e+01	9.275606624402038536e-01
9.809660120240481262e+01	9.307761796975302371e-01
9.869014649298597419e+01	9.341998148366351673e-01
9.928369178356713576e+01	9.374125544531377585e-01
9.987723707414829732e+01	9.406791770462320512e-01
1.004707823647294589e+02	9.435086078963668133e-01
1.010643276553106205e+02	9.468580846118064276e-01
1.016578729458917820e+02	9.496514596782779094e-01
1.022514182364729436e+02	9.526369196411068607e-01
1.028449635270541052e+02	9.557810495549068364e-01
1.034385088176352667e+02	9.592183865284469313e-01
1.040320541082164283e+02	9.622681753013163641e-01
1.046255993987975899e+02	9.652192777723457295e-01
1.052191446893787514e+02	9.685344502560265800e-01
1.058126899799599130e+02	9.718315454626070826e-01
1.064062352705410746e+02	9.752230998761333147e-01
1.069997805611222503e+02	9.784133057859673022e-01
1.075933258517034119e+02	9.817836830002013571e-01
1.081868711422845735e+02	9.855618196102157169e-01
1.087804164328657350e+02	9.887309668027868259e-01
1.093739617234468966e+02	9.921060716428250492e-01
1.099675070140280582e+02	9.954665086585646749e-01
1.105610523046092197e+02	9.988191518196405383e-01
1.111545975951903813e+02	1.001856185829918422e+00
1.117481428857715429e+02	1.004851032861612259e+00
1.123416881763527044e+02	1.008048108782705565e+00
1.129352334669338660e+02	1.011281429586531999e+00
1.135287787575150276e+02	1.014429814888638814e+00
1.141223240480961891e+02	1.017717352260474994e+00
