T	B32KOP4 Rho_mr	Err
1.577439999999999998e+02	3.607447120367358040e-01	2.015925485896812308e-01
1.587439999999999998e+02	3.628406117578019674e-01	2.027637861775384298e-01
1.597439999999999998e+02	3.648590835356326223e-01	2.038917552270411437e-01
1.607439999999999998e+02	3.667851919540587313e-01	2.049681094797156100e-01
1.617439999999999998e+02	3.687076662056576470e-01	2.060424328753096002e-01
1.627439999999999998e+02	3.706355917074973250e-01	2.071198025565242351e-01
1.637439999999999998e+02	3.725959297639092060e-01	2.082152851282803308e-01
1.647439999999999998e+02	3.745652162977694544e-01	2.093157683176882777e-01
1.657439999999999998e+02	3.765245115063090009e-01	2.104106681217602082e-01
1.667439999999999998e+02	3.785402205712056212e-01	2.115370933029184219e-01
1.677439999999999998e+02	3.805877727061987015e-01	2.126813131334269191e-01
1.687439999999999998e+02	3.826369325649945918e-01	2.138264313974481134e-01
1.697439999999999998e+02	3.846133847277946050e-01	2.149309189072300119e-01
1.707439999999999998e+02	3.865147375479048297e-01	2.159934391548869181e-01
1.717439999999999998e+02	3.883834492045359910e-01	2.170377187600198987e-01
1.727439999999999998e+02	3.902713584916448486e-01	2.180927264482702410e-01
1.737439999999999998e+02	3.921994051323789421e-01	2.191701638247210149e-01
1.747439999999999998e+02	3.941539706571347002e-01	2.202624205713172301e-01
1.757439999999999998e+02	3.961310285144059029e-01	2.213672465572791570e-01
1.767439999999999998e+02	3.980914745424406487e-01	2.224627894660933525e-01
1.777439999999999998e+02	4.001211461816256421e-01	2.235970172590202865e-01
1.787439999999999998e+02	4.021297291193958734e-01	2.247194601943379721e-01
1.797439999999999998e+02	4.040608930175140223e-01	2.257986395668311053e-01
1.807439999999999998e+02	4.059480639342198383e-01	2.268532346364999785e-01
1.817439999999999998e+02	4.078467315088410983e-01	2.279142543064251736e-01
1.827439999999999998e+02	4.096804801731869228e-01	2.289389957770105177e-01
1.837439999999999998e+02	4.115672126824660437e-01	2.299933458543966525e-01
1.847439999999999998e+02	4.134950170454115836e-01	2.310706478403753705e-01
1.857439999999999998e+02	4.154268189918670640e-01	2.321501837691426484e-01
1.867439999999999998e+02	4.173601957439474486e-01	2.332305997359780669e-01
1.877439999999999998e+02	4.193524776000797094e-01	2.343439332471447811e-01
1.887439999999999998e+02	4.213140481130676629e-01	2.354401045443454965e-01
1.897439999999999998e+02	4.232221356788457567e-01	2.365063883247666976e-01
1.907439999999999998e+02	4.250694634363840207e-01	2.375387181089513022e-01
1.917439999999999998e+02	4.269324642594296004e-01	2.385798063672434355e-01
1.927439999999999998e+02	4.287780153131856564e-01	2.396111432879663994e-01
1.937439999999999998e+02	4.306837175964509656e-01	2.406760941169545920e-01
1.947439999999999998e+02	4.325771156291727815e-01	2.417341690441131008e-01
1.957439999999999998e+02	4.344839658476740696e-01	2.427997613660521914e-01
1.967439999999999998e+02	4.364323032531933211e-01	2.438885376945357508e-01
1.977439999999999998e+02	4.383420752264532427e-01	2.449557627610957911e-01
1.987439999999999998e+02	4.402917041531648201e-01	2.460452608217075510e-01
1.997439999999999998e+02	4.421994292176991692e-01	2.471113420279892892e-01
2.007439999999999998e+02	4.440080470415828651e-01	2.481220397995045623e-01
2.017439999999999998e+02	4.458165094038856191e-01	2.491326506954668618e-01
2.027439999999999998e+02	4.476525106748123206e-01	2.501586509750838849e-01
2.037439999999999998e+02	4.495154480441513889e-01	2.511997037739666094e-01
2.047439999999999998e+02	4.513956448216603912e-01	2.522504015321905824e-01
2.057439999999999998e+02	4.532701307655836453e-01	2.532979079435737080e-01
2.067439999999999998e+02	4.551349082924114331e-01	2.543399890653273987e-01
2.077439999999999998e+02	4.570191661071367761e-01	2.553929562257492569e-01
2.087439999999999998e+02	4.589462695950511928e-01	2.564698665464337224e-01
2.097439999999999998e+02	4.608425596746599795e-01	2.575295576167626055e-01
2.107439999999999998e+02	4.626378744289745826e-01	2.585328213231092298e-01
2.117439999999999998e+02	4.644414508558761812e-01	2.595407018445521352e-01
2.127439999999999998e+02	4.662287038167790554e-01	2.605394604329418495e-01
2.137439999999999998e+02	4.680464716651410728e-01	2.615552714512842658e-01
2.147439999999999998e+02	4.698907504720816752e-01	2.625858974108499222e-01
2.157439999999999998e+02	4.717449693021465995e-01	2.636220780868890889e-01
2.167439999999999998e+02	4.735970814691554676e-01	2.646570815105380170e-01
2.177439999999999998e+02	4.755083071091463776e-01	2.657251189199304475e-01
2.187439999999999998e+02	4.774138219155516505e-01	2.667899649824819197e-01
2.197439999999999998e+02	4.792308021030357024e-01	2.678053358375772630e-01
2.207439999999999998e+02	4.810166313631445978e-01	2.688032988287983316e-01
2.217439999999999998e+02	4.827899138216757979e-01	2.697942503750216936e-01
2.227439999999999998e+02	4.845769458634899274e-01	2.707928855086783604e-01
2.237439999999999998e+02	4.863623508186823430e-01	2.717906113884279717e-01
2.247439999999999998e+02	4.881697074166574946e-01	2.728006043575254558e-01
2.257439999999999998e+02	4.900179235260869737e-01	2.738334305734408392e-01
2.267439999999999998e+02	4.918602098866433070e-01	2.748629431075531593e-01
2.277439999999999998e+02	4.937165544158762520e-01	2.759003116738052430e-01
2.287439999999999998e+02	4.955852248275982030e-01	2.769445682303221523e-01
2.297439999999999998e+02	4.974082351210016850e-01	2.779633088490758852e-01
2.307439999999999998e+02	4.991718707793259546e-01	2.789488695386225237e-01
2.317439999999999998e+02	5.009181640943728420e-01	2.799247389227579874e-01
2.327439999999999998e+02	5.026926197228793747e-01	2.809163460636923126e-01
2.337439999999999998e+02	5.045032445207066063e-01	2.819281653789994513e-01
2.347439999999999998e+02	5.063032090958405895e-01	2.829340275135370231e-01
2.357439999999999998e+02	5.081204770514499147e-01	2.839495591801642904e-01
2.367439999999999998e+02	5.098860257833641718e-01	2.849361889397978298e-01
2.377439999999999998e+02	5.117075212030166576e-01	2.859540830118106891e-01
2.387439999999999998e+02	5.135775486891406283e-01	2.869990979331162317e-01
2.397439999999999998e+02	5.154223594496540883e-01	2.880300211607302319e-01
2.407439999999999998e+02	5.171775947278152152e-01	2.890108875221558682e-01
2.417439999999999998e+02	5.189215775486891724e-01	2.899854657483248999e-01
2.427439999999999998e+02	5.206263857930321093e-01	2.909381523085612931e-01
2.437439999999999998e+02	5.223376607165821639e-01	2.918944525997793638e-01
2.447439999999999998e+02	5.241291703636298260e-01	2.928955899235458071e-01
2.457439999999999998e+02	5.259229008904051650e-01	2.938979683266391141e-01
2.467439999999999998e+02	5.277854514147791720e-01	2.949388049475439311e-01
2.477439999999999998e+02	5.296191110212912223e-01	2.959634966505371723e-01
2.487439999999999998e+02	5.314377154010173632e-01	2.969797751420927279e-01
2.497439999999999998e+02	5.332255932565101997e-01	2.979788829361361691e-01
2.507439999999999998e+02	5.349167327481955114e-01	2.989239310789756909e-01
2.517439999999999998e+02	5.366106842655360420e-01	2.998705506472571503e-01
2.527439999999999998e+02	5.383878844796711194e-01	3.008636915265755496e-01
2.537439999999999998e+02	5.401553650789977512e-01	3.018514008587217523e-01
2.547439999999999998e+02	5.418933488029403778e-01	3.028226266497772712e-01
2.557439999999999998e+02	5.436479989228399923e-01	3.038031660111351617e-01
2.567440000000000282e+02	5.454707402353922152e-01	3.048217563171233824e-01
2.577440000000000282e+02	5.472436146330577067e-01	3.058124798294291069e-01
2.587440000000000282e+02	5.490252190476528904e-01	3.068080818785599573e-01
2.597440000000000282e+02	5.508397741322088592e-01	3.078220975296466211e-01
2.607440000000000282e+02	5.525577189890079621e-01	3.087821251349393559e-01
2.617440000000000282e+02	5.542410569874496318e-01	3.097228136216195749e-01
2.627440000000000282e+02	5.559325678232893697e-01	3.106680692802229471e-01
2.637440000000000282e+02	5.576945471728904646e-01	3.116527043858715040e-01
2.647440000000000282e+02	5.594814447930367418e-01	3.126512644015689291e-01
2.657440000000000282e+02	5.612110659250045819e-01	3.136178169814233807e-01
2.667440000000000282e+02	5.629732007361865076e-01	3.146025389626248558e-01
2.677440000000000282e+02	5.647597652243735444e-01	3.156009128164231070e-01
2.687440000000000282e+02	5.665414437771598699e-01	3.165965562957021584e-01
2.697440000000000282e+02	5.682886669673127278e-01	3.175729453157081772e-01
2.707440000000000282e+02	5.699732676945138410e-01	3.185143394446341980e-01
2.717440000000000282e+02	5.716639599775394931e-01	3.194591376768570190e-01
2.727440000000000282e+02	5.733925341233500061e-01	3.204251051764573366e-01
2.737440000000000282e+02	5.751262480193874982e-01	3.213939448882144334e-01
2.747440000000000282e+02	5.768721450270742901e-01	3.223695928065650751e-01
2.757440000000000282e+02	5.785821516421499888e-01	3.233251843374625456e-01
2.767440000000000282e+02	5.803257716379840447e-01	3.242995598085472442e-01
2.777440000000000282e+02	5.820946071605732630e-01	3.252880263033753327e-01
2.787440000000000282e+02	5.838616405978974688e-01	3.262754857509780337e-01
2.797440000000000282e+02	5.855976324819986978e-01	3.272455984555304731e-01
2.807440000000000282e+02	5.872883247650243499e-01	3.281903966877534051e-01
2.817440000000000282e+02	5.889759712701378991e-01	3.291334928683278815e-01
2.827440000000000282e+02	5.906779900397751693e-01	3.300846206051184506e-01
2.837440000000000282e+02	5.923801991705319736e-01	3.310358547201369683e-01
2.847440000000000282e+02	5.940881191348742485e-01	3.319902801819962779e-01
2.857440000000000282e+02	5.957649955935717667e-01	3.329273578097466380e-01
2.867440000000000282e+02	5.974807350069775147e-01	3.338861529618957213e-01
2.877440000000000282e+02	5.992730801278276509e-01	3.348877571678851028e-01
2.887440000000000282e+02	6.010099349823371240e-01	3.358583521204045463e-01
2.897440000000000282e+02	6.027090031546219473e-01	3.368078309946607174e-01
2.907440000000000282e+02	6.044083568685857388e-01	3.377574694362587837e-01
2.917440000000000282e+02	6.060873419427611486e-01	3.386957254074581258e-01
2.927440000000000282e+02	6.077430077797949526e-01	3.396209500457240127e-01
2.937440000000000282e+02	6.093579363372514379e-01	3.405234097431921736e-01
2.947440000000000282e+02	6.110369214114265146e-01	3.414616657143913492e-01
2.957440000000000282e+02	6.128203195596589881e-01	3.424582701436634791e-01
2.967440000000000282e+02	6.145515587611427577e-01	3.434257269384561329e-01
2.977440000000000282e+02	6.162342495317780777e-01	3.443660537391609600e-01
2.987440000000000282e+02	6.179433839024419672e-01	3.453211578395622983e-01
2.997440000000000282e+02	6.196671965797372339e-01	3.462844645196385129e-01
3.007440000000000282e+02	6.213106753392650949e-01	3.472028787350975310e-01
3.017440000000000282e+02	6.227035833435101697e-01	3.479812681754897441e-01
3.027440000000000282e+02	6.247141013434431844e-01	3.491047924686210835e-01
3.037440000000000282e+02	6.264099354918194473e-01	3.500524640949809752e-01
3.047440000000000282e+02	6.279596442146044843e-01	3.509184774295467379e-01
3.057440000000000282e+02	6.295029277688957148e-01	3.517809002302846322e-01
3.067440000000000282e+02	6.313109358603449239e-01	3.527912572691118687e-01
3.077440000000000282e+02	6.331467520579611152e-01	3.538171541254516161e-01
3.087440000000000282e+02	6.348141885575521171e-01	3.547489564841505572e-01
3.097440000000000282e+02	6.363976387887720909e-01	3.556338253596340038e-01
3.107440000000000282e+02	6.372844693772565794e-01	3.561294069510882454e-01
3.117440000000000282e+02	6.400371054426142736e-01	3.576676441067276890e-01
3.127440000000000282e+02	6.419148592524227537e-01	3.587169766776918678e-01
3.137440000000000282e+02	6.436741069199585219e-01	3.597000852557681871e-01
3.147440000000000282e+02	6.452435582059614649e-01	3.605771311945605850e-01
3.157440000000000282e+02	6.467565103116905689e-01	3.614226040752748226e-01
3.167440000000000282e+02	6.483003326456352466e-01	3.622853279586337738e-01
3.177440000000000282e+02	6.498793464052085023e-01	3.631677176304139998e-01
3.187440000000000282e+02	6.512723138973034454e-01	3.639461403140025753e-01
