T	B28KUD3A Rho_mr	Err
1.688735999999999819e+02	1.607532911206249748e-01	5.485783697539795001e-02
1.698735999999999819e+02	1.615886804074618821e-01	5.514291760416033944e-02
1.708735999999999819e+02	1.623807717328211997e-01	5.541322259445495557e-02
1.718735999999999819e+02	1.631692325581699798e-01	5.568228865908696895e-02
1.728735999999999819e+02	1.639943105407638269e-01	5.596385050547654505e-02
1.738735999999999819e+02	1.648207027725227536e-01	5.624586084574104139e-02
1.748735999999999819e+02	1.656395349622080682e-01	5.652529128513565648e-02
1.758735999999999819e+02	1.664890461260027932e-01	5.681519107261347873e-02
1.768735999999999819e+02	1.673381060163679213e-01	5.710493686085398035e-02
1.778735999999999819e+02	1.681767470166157241e-01	5.739112715252246005e-02
1.788735999999999819e+02	1.690245803226109733e-01	5.768045436292276729e-02
1.798735999999999819e+02	1.698572465048130142e-01	5.796460571907691151e-02
1.808735999999999819e+02	1.706552195627212554e-01	5.823691787901049549e-02
1.818735999999999819e+02	1.714546793083434884e-01	5.850973737830665600e-02
1.828735999999999819e+02	1.722472386209630835e-01	5.878020207151406218e-02
1.838735999999999819e+02	1.730343224224078769e-01	5.904879822008829438e-02
1.848735999999999819e+02	1.738150779760459508e-01	5.931523482353534549e-02
1.858735999999999819e+02	1.745914059305228860e-01	5.958016048738495885e-02
1.868735999999999819e+02	1.753995593977819289e-01	5.985594676117719781e-02
1.878735999999999819e+02	1.762506415612812016e-01	6.014638265989157712e-02
1.888735999999999819e+02	1.771035842803092286e-01	6.043745348216595509e-02
1.898735999999999819e+02	1.778734487856406254e-01	6.070017346277851999e-02
1.908735999999999819e+02	1.786436031178313677e-01	6.096299234820657525e-02
1.918735999999999819e+02	1.794292350595715069e-01	6.123109304264465896e-02
1.928735999999999819e+02	1.801970559603032762e-01	6.149311563331772562e-02
1.938735999999999535e+02	1.810080744190682156e-01	6.176987959929822886e-02
1.948735999999999535e+02	1.818366529403456222e-01	6.205263602141991575e-02
1.958735999999999535e+02	1.826318231942441750e-01	6.232399171094867019e-02
1.968735999999999535e+02	1.834233759427591759e-01	6.259411290929402238e-02
1.978735999999999535e+02	1.842408278711769043e-01	6.287307232786489009e-02
1.988735999999999535e+02	1.850595803163149200e-01	6.315247555404759905e-02
1.998735999999999535e+02	1.858785848240891991e-01	6.343196479782228780e-02
2.008735999999999535e+02	1.866513909335129062e-01	6.369568861503825674e-02
2.018735999999999535e+02	1.874232076443877459e-01	6.395907479522094929e-02
2.028735999999999535e+02	1.881916191757592727e-01	6.422129894145235662e-02
2.038735999999999535e+02	1.889470563776983192e-01	6.447909553510360048e-02
2.048735999999999535e+02	1.897435238657811385e-01	6.475089391206288736e-02
2.058735999999999535e+02	1.905285691821778926e-01	6.501879441776937940e-02
2.068735999999999535e+02	1.913170778753356116e-01	6.528787681752235006e-02
2.078735999999999535e+02	1.921323078053612521e-01	6.556607796841047719e-02
2.088735999999999535e+02	1.929402799426144233e-01	6.584180236246248152e-02
2.098735999999999535e+02	1.937211334001509022e-01	6.610827237608769835e-02
2.108735999999999535e+02	1.944811084221888253e-01	6.636761752276371107e-02
2.118735999999999535e+02	1.952403459276240982e-01	6.662671098833714001e-02
2.128735999999999535e+02	1.959927855717818745e-01	6.688348465091838169e-02
2.138735999999999535e+02	1.967680232449351141e-01	6.714803825100061629e-02
2.148735999999999535e+02	1.975348873139921579e-01	6.740973431824352768e-02
2.158735999999999535e+02	1.982964258195299145e-01	6.766961301121492134e-02
2.168735999999999535e+02	1.990834850897892083e-01	6.793820078840363819e-02
2.178735999999999535e+02	1.998971225988788458e-01	6.821585851795654298e-02
2.188735999999999535e+02	2.006845185066921389e-01	6.848456117433640578e-02
2.198735999999999535e+02	2.014364658833626698e-01	6.874116684826014900e-02
2.208735999999999535e+02	2.021792108532092513e-01	6.899463215641092606e-02
2.218735999999999535e+02	2.029241751719062514e-01	6.924885482807556503e-02
2.228735999999999535e+02	2.036890162468063259e-01	6.950986053879207316e-02
2.238735999999999535e+02	2.044361043146394330e-01	6.976480795010635283e-02
2.248735999999999535e+02	2.051895212479679376e-01	7.002191511733707463e-02
2.258735999999999535e+02	2.059514081752122083e-01	7.028191271089855030e-02
2.268735999999999535e+02	2.067228995428753435e-01	7.054518786613898917e-02
2.278735999999999535e+02	2.074948179331113085e-01	7.080860874489475210e-02
2.288735999999999535e+02	2.082476191592626535e-01	7.106550579907763843e-02
2.298735999999999535e+02	2.089829136612177951e-01	7.131642859907737220e-02
2.308735999999999535e+02	2.097052508465703791e-01	7.156292965220732716e-02
2.318735999999999535e+02	2.104430669858924630e-01	7.181471297313715696e-02
2.328735999999999535e+02	2.111821839323296535e-01	7.206694020077741847e-02
2.338735999999999535e+02	2.119295444111144733e-01	7.232198057364459809e-02
2.348735999999999535e+02	2.126963689631832521e-01	7.258366315552441939e-02
2.358735999999999535e+02	2.134454394798070420e-01	7.283928708706302602e-02
2.368735999999999535e+02	2.142033611636436352e-01	7.309793152216095824e-02
2.378735999999999535e+02	2.149740940161032343e-01	7.336094783042482192e-02
2.388735999999999535e+02	2.157467391534610146e-01	7.362461671514583528e-02
2.398735999999999535e+02	2.165109489747787386e-01	7.388540700752863066e-02
2.408735999999999535e+02	2.172335581524511838e-01	7.413200087935137295e-02
2.418735999999999535e+02	2.179632782907102440e-01	7.438102140081766234e-02
2.428735999999999535e+02	2.186935275066790307e-01	7.463022247260764352e-02
2.438735999999999535e+02	2.194258951630480847e-01	7.488014647241553190e-02
2.448735999999999535e+02	2.201553590440800956e-01	7.512907954486544582e-02
2.458735999999999535e+02	2.209192174246615847e-01	7.538974990639968343e-02
2.468735999999999535e+02	2.216801097939277154e-01	7.564940810224776713e-02
2.478735999999999535e+02	2.224364006887330769e-01	7.590749602271268381e-02
2.488735999999999535e+02	2.232149018864760248e-01	7.617316331632280335e-02
2.498735999999999535e+02	2.239391151553956905e-01	7.642030459203083548e-02
2.508735999999999535e+02	2.246421593786362414e-01	7.666022182866198686e-02
2.518735999999999535e+02	2.253736506258241512e-01	7.690984674960406331e-02
2.528735999999999535e+02	2.261143240213967509e-01	7.716260512302887398e-02
2.538735999999999535e+02	2.268507469360976359e-01	7.741391299932795511e-02
2.548735999999999535e+02	2.275694435360550438e-01	7.765917168510907964e-02
2.558735999999999535e+02	2.283166567122859314e-01	7.791416179026833255e-02
2.568735999999999535e+02	2.290624730302935896e-01	7.816867521081258263e-02
2.578735999999999535e+02	2.298210047424767977e-01	7.842752782102999087e-02
2.588735999999999535e+02	2.305844821881993245e-01	7.868806818670383285e-02
2.598735999999999535e+02	2.313197564987570232e-01	7.893898409629170054e-02
