T	B30KUD3 Rho_mr	Err
1.802272000000000105e+02	5.272450675009274779e-01	2.399065384519873945e-01
1.812272000000000105e+02	5.292909715247428037e-01	2.408374637135266005e-01
1.822272000000000105e+02	5.315822915513866986e-01	2.418800579262773420e-01
1.832272000000000105e+02	5.338110872406183205e-01	2.428942023757544866e-01
1.842272000000000105e+02	5.357479583718759431e-01	2.437755155964358433e-01
1.852272000000000105e+02	5.380659136325005587e-01	2.448302293474791669e-01
1.862272000000000105e+02	5.402992500184199409e-01	2.458464399003524314e-01
1.872272000000000105e+02	5.425003967367358904e-01	2.468480035419415020e-01
1.882272000000000105e+02	5.448029039488430092e-01	2.478956881369546172e-01
1.892272000000000105e+02	5.471191652480096312e-01	2.489496311033009279e-01
1.902272000000000105e+02	5.492960333187265620e-01	2.499401474982436422e-01
1.912272000000000105e+02	5.513450314988086465e-01	2.508724806597616430e-01
1.922272000000000105e+02	5.535198521494429924e-01	2.518620654396072633e-01
1.932272000000000105e+02	5.556480631938975900e-01	2.528304419617251608e-01
1.942272000000000105e+02	5.578475819492539900e-01	2.538312648491898860e-01
1.952272000000000105e+02	5.600326770994507042e-01	2.548255247218457753e-01
1.962272000000000105e+02	5.622575312116966373e-01	2.558378756787916264e-01
1.972272000000000105e+02	5.644395794312185854e-01	2.568307491400116382e-01
1.982272000000000105e+02	5.669120445096855754e-01	2.579557677982799446e-01
1.992272000000000105e+02	5.691181736746381281e-01	2.589595985478977402e-01
2.002272000000000105e+02	5.712621375340095620e-01	2.599351429005569702e-01
2.012272000000000105e+02	5.733638157154878900e-01	2.608914464651372889e-01
2.022272000000000105e+02	5.755003587037028634e-01	2.618636141802114792e-01
2.032272000000000105e+02	5.776823174585937748e-01	2.628564469333219966e-01
2.042272000000000105e+02	5.799306267038426554e-01	2.638794704221028020e-01
2.052272000000000105e+02	5.821614331473244919e-01	2.648945298030255802e-01
2.062272000000000105e+02	5.843714192645215189e-01	2.659001155393070914e-01
2.072272000000000105e+02	5.866128162670413149e-01	2.669199938261157534e-01
2.082272000000000105e+02	5.889778592563004178e-01	2.679961333897017406e-01
2.092272000000000105e+02	5.912297148208612851e-01	2.690207705212510070e-01
2.102272000000000105e+02	5.933896476768975026e-01	2.700035810712604345e-01
2.112272000000000105e+02	5.955438122641764087e-01	2.709837669492232703e-01
2.122272000000000105e+02	5.977640721476193963e-01	2.719940274446420725e-01
2.132272000000000105e+02	5.998998935522523723e-01	2.729658668254556497e-01
2.142272000000000105e+02	6.021114812330099486e-01	2.739721813036328779e-01
2.152272000000000105e+02	6.043697826509112359e-01	2.749997514211074967e-01
2.162272000000000105e+02	6.066205461603192406e-01	2.760238916467818715e-01
2.172272000000000105e+02	6.089035978950878558e-01	2.770627236293953244e-01
2.182272000000000105e+02	6.112481285510547035e-01	2.781295296910121229e-01
2.192272000000000105e+02	6.135088710334156703e-01	2.791582105392661495e-01
2.202272000000000105e+02	6.156483540347379435e-01	2.801317160162485886e-01
2.212272000000000105e+02	6.177823230815168154e-01	2.811027125389907733e-01
2.222272000000000105e+02	6.199057103690576165e-01	2.820688941599235333e-01
2.232272000000000105e+02	6.220372198717972756e-01	2.830387715433263507e-01
2.242272000000000105e+02	6.242383973894127802e-01	2.840403491991828067e-01
2.252272000000000105e+02	6.264283639621053279e-01	2.850368256617706320e-01
2.262272000000000105e+02	6.286571531981504091e-01	2.860509671749251748e-01
2.272272000000000105e+02	6.308322325628983318e-01	2.870406696746154451e-01
2.282272000000000105e+02	6.330993689797809187e-01	2.880722598847444416e-01
2.292272000000000105e+02	6.353776875955733372e-01	2.891089382081590275e-01
2.302272000000000105e+02	6.375918911634795849e-01	2.901164429647653531e-01
