T	B07KOD2 Rho_mr
3.385430541082163813e+01	1.189378991125330964e+00
3.444636513026051716e+01	1.193922938339170958e+00
3.503842484969939619e+01	1.198509283960680349e+00
3.563048456913827522e+01	1.202866959665644053e+00
3.622254428857715425e+01	1.207891990903580348e+00
3.681460400801602617e+01	1.212350462647234783e+00
3.740666372745490520e+01	1.216727017096510988e+00
3.799872344689378423e+01	1.221063661829041802e+00
3.859078316633266326e+01	1.226272729195792888e+00
3.918284288577154229e+01	1.230655305531987764e+00
3.977490260521041421e+01	1.235502207594557644e+00
4.036696232464929324e+01	1.239865832120450984e+00
4.095902204408817227e+01	1.244412220471244668e+00
4.155108176352705129e+01	1.249199866761510291e+00
4.214314148296593032e+01	1.254012451657962712e+00
4.273520120240480225e+01	1.258345111631257618e+00
4.332726092184368127e+01	1.263387815322695840e+00
4.391932064128256030e+01	1.268166699660906005e+00
4.451138036072143933e+01	1.272724200578344123e+00
4.510344008016031836e+01	1.277663835360497879e+00
4.569549979959919028e+01	1.282541946593187765e+00
4.628755951903806931e+01	1.287404271493565622e+00
4.687961923847694834e+01	1.291801002431266943e+00
4.747167895791582737e+01	1.297043575961099648e+00
4.806373867735470640e+01	1.301403600308054909e+00
4.865579839679358543e+01	1.306587560719844499e+00
4.924785811623245735e+01	1.311456958980842913e+00
4.983991783567133638e+01	1.316405431142957161e+00
5.043197755511021541e+01	1.320956228325683934e+00
5.102403727454909443e+01	1.325545004645597436e+00
5.161609699398797346e+01	1.330174592934900701e+00
5.220815671342684539e+01	1.335308789785973005e+00
5.280021643286572441e+01	1.340271975060772558e+00
5.339227615230460344e+01	1.345229862634526041e+00
5.398433587174348247e+01	1.350406353928387260e+00
5.457639559118236150e+01	1.355577398141472045e+00
5.516845531062124053e+01	1.360712263259281629e+00
5.576051503006011245e+01	1.365402972446952967e+00
5.635257474949899148e+01	1.370344325841357680e+00
5.694463446893787051e+01	1.375215391213788774e+00
5.753669418837674954e+01	1.380300337305710556e+00
5.812875390781562857e+01	1.385422132269182871e+00
5.872081362725450049e+01	1.390511026486327850e+00
5.931287334669337952e+01	1.395594555887186949e+00
5.990493306613225855e+01	1.401192044179828899e+00
6.049699278557113757e+01	1.406080880967272684e+00
6.108905250501001660e+01	1.410932867119913059e+00
6.168111222444888853e+01	1.415928333180803911e+00
6.227317194388776755e+01	1.420868695559882378e+00
6.286523166332664658e+01	1.426039560251584959e+00
6.345729138276552561e+01	1.431220867728564938e+00
6.404935110220441175e+01	1.436443253723097113e+00
6.464141082164327656e+01	1.441704458868203087e+00
6.523347054108215559e+01	1.446922789752677074e+00
6.582553026052103462e+01	1.451922753893239548e+00
6.641758997995991365e+01	1.456901500613071887e+00
6.700964969939879268e+01	1.462037462535087151e+00
6.760170941883767171e+01	1.467090059725584261e+00
6.819376913827655073e+01	1.472530915097452819e+00
6.878582885771542976e+01	1.477564610012808810e+00
6.937788857715430879e+01	1.483076681736974267e+00
6.996994829659317361e+01	1.488470808118882216e+00
7.056200801603205264e+01	1.493586281752177669e+00
7.115406773547093167e+01	1.498597686682243024e+00
7.174612745490981069e+01	1.503627469779433179e+00
7.233818717434868972e+01	1.508774536397065269e+00
7.293024689378756875e+01	1.514000516887874292e+00
7.352230661322644778e+01	1.519334380781965699e+00
7.411436633266532681e+01	1.524753076364261162e+00
7.470642605210420584e+01	1.530156884686461938e+00
7.529848577154308487e+01	1.535434682513361349e+00
7.589054549098194968e+01	1.540534204568609011e+00
7.648260521042082871e+01	1.545665923829130817e+00
7.707466492985970774e+01	1.550778843671526852e+00
7.766672464929858677e+01	1.556092946508084607e+00
7.825878436873746580e+01	1.561358098129639549e+00
7.885084408817634483e+01	1.566748879754980672e+00
7.944290380761522385e+01	1.572146788224279002e+00
8.003496352705410288e+01	1.577697632775425296e+00
8.062702324649298191e+01	1.582711993994564192e+00
8.121908296593186094e+01	1.587953788722293647e+00
8.181114268537073997e+01	1.593320912979394155e+00
8.240320240480960479e+01	1.598640057397020309e+00
8.299526212424848381e+01	1.604099752054609640e+00
8.358732184368736284e+01	1.609376107907984466e+00
8.417938156312624187e+01	1.615046581392879155e+00
8.477144128256512090e+01	1.620701468870659800e+00
