T	B30KOD3 Rho_mr	Err
1.265144999999999982e+02	8.793758787964334189e-02	4.172356095746011795e-02
1.275144999999999982e+02	8.839133785824804246e-02	4.193885074818839986e-02
1.285144999999999982e+02	8.911027100844216842e-02	4.227996143634508985e-02
1.295144999999999982e+02	8.960450695567197255e-02	4.251446051880609922e-02
1.305144999999999982e+02	9.022111941507005017e-02	4.280702332564628038e-02
1.315144999999999982e+02	9.073532591503569167e-02	4.305099779394080950e-02
1.325144999999999982e+02	9.128404721684021950e-02	4.331134842711752836e-02
1.335144999999999982e+02	9.186140703102690930e-02	4.358528711457135968e-02
1.345144999999999982e+02	9.237639204091570300e-02	4.382963096081924498e-02
1.355144999999999982e+02	9.300177747756452340e-02	4.412635626358326485e-02
1.365144999999999982e+02	9.346407339178587625e-02	4.434570082627242726e-02
1.375144999999999982e+02	9.415490496840060730e-02	4.467347822036780297e-02
1.385144999999999982e+02	9.465572171516599409e-02	4.491109968083795839e-02
1.395144999999999982e+02	9.533711440766579059e-02	4.523439862759088409e-02
1.405144999999999982e+02	9.575413624256901013e-02	4.543226209381412417e-02
1.415144999999999982e+02	9.641672941259994689e-02	4.574664127098259508e-02
1.425144999999999982e+02	9.684905346724936859e-02	4.595176514897921644e-02
1.435144999999999982e+02	9.756481298363148258e-02	4.629137004982691178e-02
1.445144999999999982e+02	9.803419276152496031e-02	4.651407567829993206e-02
1.455144999999999982e+02	9.865714224015309508e-02	4.680964519722433104e-02
1.465144999999999982e+02	9.922602333988933543e-02	4.707956100700158575e-02
1.475144999999999982e+02	9.979909280002170757e-02	4.735146405925970414e-02
1.485144999999999982e+02	1.003977070148483891e-01	4.763548727714131403e-02
1.495144999999999982e+02	1.009808908784169124e-01	4.791218928896261164e-02
1.505144999999999982e+02	1.015633687934476420e-01	4.818855635087726519e-02
1.515144999999999982e+02	1.020504673715355859e-01	4.841966898092757432e-02
1.525144999999999982e+02	1.026707599663400083e-01	4.871397789381479854e-02
