file FFTd=BaFe2P2_00828a_1.dat
Selected B range, Bmin=4.000 T Bmax=5.000 T
Subtracted Poly order =3
Padding =8
F[T]	Amp
 1.33973767089843E+0004	 1.60970208692500E-0006
 1.33988946533203E+0004	 1.61079219919737E-0006
 1.34004125976562E+0004	 1.60872566573619E-0006
 1.34019305419921E+0004	 1.60406768487718E-0006
 1.34034484863281E+0004	 1.59738926657831E-0006
 1.34049664306640E+0004	 1.58925209150733E-0006
 1.34064843750000E+0004	 1.58019352612273E-0006
 1.34080023193359E+0004	 1.57071237688461E-0006
 1.34095202636718E+0004	 1.56125603021032E-0006
 1.34110382080078E+0004	 1.55220964041359E-0006
 1.34125561523437E+0004	 1.54388797693322E-0006
 1.34140740966796E+0004	 1.53653041413195E-0006
 1.34155920410156E+0004	 1.53029934509377E-0006
 1.34171099853515E+0004	 1.52528204497483E-0006
 1.34186279296875E+0004	 1.52149573386538E-0006
 1.34201458740234E+0004	 1.51889533554639E-0006
 1.34216638183593E+0004	 1.51738323606375E-0006
 1.34231817626953E+0004	 1.51682024144293E-0006
 1.34246997070312E+0004	 1.51703692565591E-0006
 1.34262176513671E+0004	 1.51784463816964E-0006
 1.34277355957031E+0004	 1.51904558136499E-0006
 1.34292535400390E+0004	 1.52044154189576E-0006
 1.34307714843750E+0004	 1.52184103789478E-0006
 1.34322894287109E+0004	 1.52306480345570E-0006
 1.34338073730468E+0004	 1.52394965933114E-0006
 1.34353253173828E+0004	 1.52435090900539E-0006
 1.34368432617187E+0004	 1.52414345348426E-0006
 1.34383612060546E+0004	 1.52322184168523E-0006
 1.34398791503906E+0004	 1.52149947350900E-0006
 1.34413970947265E+0004	 1.51890715707069E-0006
 1.34429150390625E+0004	 1.51539119693741E-0006
 1.34444329833984E+0004	 1.51091116205712E-0006
 1.34459509277343E+0004	 1.50543745447650E-0006
 1.34474688720703E+0004	 1.49894877571828E-0006
 1.34489868164062E+0004	 1.49142956845926E-0006
 1.34505047607421E+0004	 1.48286749759954E-0006
 1.34520227050781E+0004	 1.47325102684704E-0006
 1.34535406494140E+0004	 1.46256714384790E-0006
 1.34550585937500E+0004	 1.45079928750016E-0006
 1.34565765380859E+0004	 1.43792553390540E-0006
 1.34580944824218E+0004	 1.42391710079649E-0006
 1.34596124267578E+0004	 1.40873723259404E-0006
 1.34611303710937E+0004	 1.39234052804467E-0006
 1.34626483154296E+0004	 1.37467276858747E-0006
 1.34641662597656E+0004	 1.35567129758887E-0006
 1.34656842041015E+0004	 1.33526598838082E-0006
 1.34672021484375E+0004	 1.31338082327219E-0006
 1.34687200927734E+0004	 1.28993608761032E-0006
 1.34702380371093E+0004	 1.26485116429784E-0006
 1.34717559814453E+0004	 1.23804789702630E-0006
 1.34732739257812E+0004	 1.20945447719787E-0006
 1.34747918701171E+0004	 1.17900980246748E-0006
 1.34763098144531E+0004	 1.14666825644486E-0006
 1.34778277587890E+0004	 1.11240487172694E-0006
 1.34793457031250E+0004	 1.07622086453907E-0006
