min F=100; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)]
1.200000000000000000e+01,3.610349000000000197e-02,-2.047529999999999906e-01,9.781476000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.358710000000000036e+03,-8.194909000000000221e-01,-8.192890000000000450e-01,-3.602273000000000020e-03,1.346419000000000088e-01,6.600000000000000000e+01,1.779355000000000173e-02,-1.595435000000000036e+04,1.501781000000000088e-01,0.000000000000000000e+00
1.200000000000000000e+01,3.610349000000000197e-02,-2.047529999999999906e-01,9.781476000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.358554000000000087e+03,8.167246000000000228e-01,8.216396999999999728e-01,-5.194096999999999950e-03,-1.438271999999999884e-01,4.200000000000000000e+01,1.779355000000000173e-02,-1.494280999999999949e+04,1.510679000000000050e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.906234000000000095e-02,-2.215334999999999943e-01,9.743701000000000167e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.364159000000000106e+03,-8.194962999999999553e-01,-8.185094000000000536e-01,-3.524769999999999986e-03,1.458813999999999944e-01,6.700000000000000000e+01,1.777468999999999924e-02,-1.481726000000000022e+04,1.510074999999999890e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.906234000000000095e-02,-2.215334999999999943e-01,9.743701000000000167e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.364282000000000153e+03,8.171623000000000081e-01,8.191768000000000383e-01,-4.583811000000000135e-03,-1.540211999999999970e-01,4.100000000000000000e+01,1.777468999999999924e-02,-1.578145999999999913e+04,1.520798999999999901e-01,0.000000000000000000e+00
1.400000000000000000e+01,4.200929999999999942e-02,-2.382466000000000028e-01,9.702956999999999832e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.370195000000000164e+03,-8.185417999999999861e-01,-8.214700999999999809e-01,-3.927336000000000021e-03,1.575153999999999999e-01,6.800000000000000000e+01,1.775583000000000022e-02,-1.439980999999999949e+04,1.513755999999999990e-01,0.000000000000000000e+00
1.400000000000000000e+01,4.200929999999999942e-02,-2.382466000000000028e-01,9.702956999999999832e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.370291999999999916e+03,8.169579000000000146e-01,8.201102999999999588e-01,-4.000059999999999727e-03,-1.649499000000000104e-01,4.000000000000000000e+01,1.775583000000000022e-02,-1.492310000000000036e+04,1.512902999999999887e-01,0.000000000000000000e+00
1.500000000000000000e+01,4.494345999999999758e-02,-2.548869999999999747e-01,9.659257999999999456e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.376699999999999818e+03,-8.199370000000000269e-01,-8.169026999999999816e-01,-2.650282999999999806e-03,1.688070999999999877e-01,6.900000000000000000e+01,1.773699000000000109e-02,-1.318911000000000058e+04,1.517291000000000056e-01,0.000000000000000000e+00
1.500000000000000000e+01,4.494345999999999758e-02,-2.548869999999999747e-01,9.659257999999999456e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.376769999999999982e+03,8.172089999999999632e-01,8.187999999999999723e-01,-4.986324999999999785e-03,-1.767896999999999941e-01,3.900000000000000000e+01,1.773699000000000109e-02,-1.377329000000000087e+04,1.510867999999999933e-01,0.000000000000000000e+00
1.600000000000000000e+01,4.786391999999999730e-02,-2.714498000000000189e-01,9.612616999999999967e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.383860000000000127e+03,-8.181760999999999617e-01,-8.205274999999999652e-01,-6.538898999999999927e-03,1.772853000000000068e-01,7.000000000000000000e+01,1.771819000000000172e-02,-1.347862000000000080e+04,1.523025000000000073e-01,0.000000000000000000e+00
1.600000000000000000e+01,4.786391999999999730e-02,-2.714498000000000189e-01,9.612616999999999967e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.383864000000000033e+03,8.171209000000000389e-01,8.194261000000000461e-01,-5.183924999999999818e-03,-1.883055999999999897e-01,3.800000000000000000e+01,1.771819000000000172e-02,-1.277962000000000080e+04,1.516068999999999889e-01,0.000000000000000000e+00
1.700000000000000000e+01,5.076980999999999855e-02,-2.879299000000000164e-01,9.563047999999999549e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.391150999999999840e+03,-8.181724000000000219e-01,-8.191106999999999694e-01,-5.512809999999999933e-03,1.890361000000000125e-01,7.100000000000000000e+01,1.769946999999999840e-02,-1.003336000000000058e+04,1.518726999999999994e-01,0.000000000000000000e+00
1.700000000000000000e+01,5.076980999999999855e-02,-2.879299000000000164e-01,9.563047999999999549e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.391371999999999844e+03,8.170783999999999825e-01,8.209931999999999785e-01,-3.405287999999999805e-03,-1.981621000000000077e-01,3.800000000000000000e+01,1.769946999999999840e-02,-1.140019000000000051e+04,1.523652000000000062e-01,0.000000000000000000e+00
1.800000000000000000e+01,5.366023999999999794e-02,-3.043222999999999900e-01,9.510564999999999714e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.399570999999999913e+03,-8.175000000000000044e-01,-8.193854000000000415e-01,-6.356604000000000074e-03,1.994444999999999968e-01,7.100000000000000000e+01,1.768083000000000155e-02,-1.091136000000000058e+04,1.524577000000000016e-01,0.000000000000000000e+00
1.800000000000000000e+01,5.366023999999999794e-02,-3.043222999999999900e-01,9.510564999999999714e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.399302000000000135e+03,8.169104999999999839e-01,8.228208999999999662e-01,-2.330834999999999851e-03,-2.087838999999999945e-01,3.700000000000000000e+01,1.768083000000000155e-02,-9.176873999999999796e+03,1.524232000000000087e-01,0.000000000000000000e+00
1.900000000000000000e+01,5.653431999999999902e-02,-3.206220000000000181e-01,9.455185999999999868e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.408150999999999840e+03,-8.157436000000000131e-01,-8.224740999999999858e-01,-1.001878999999999964e-02,2.081128999999999896e-01,7.200000000000000000e+01,1.766231000000000051e-02,-9.500434999999999491e+03,1.530381000000000102e-01,0.000000000000000000e+00
1.900000000000000000e+01,5.653431999999999902e-02,-3.206220000000000181e-01,9.455185999999999868e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.408018999999999778e+03,8.178708999999999563e-01,8.200243000000000393e-01,-4.989839000000000253e-03,-2.213980999999999866e-01,3.600000000000000000e+01,1.766231000000000051e-02,-8.124378999999999905e+03,1.529205999999999899e-01,0.000000000000000000e+00
2.000000000000000000e+01,5.939117000000000007e-02,-3.368241000000000152e-01,9.396925999999999890e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.417485999999999876e+03,8.168505999999999823e-01,8.191576999999999886e-01,-4.660036999999999686e-03,-2.317772999999999917e-01,3.500000000000000000e+01,1.764392000000000044e-02,-7.792510000000000218e+03,1.535661000000000109e-01,0.000000000000000000e+00
2.000000000000000000e+01,5.939117000000000007e-02,-3.368241000000000152e-01,9.396925999999999890e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.417628000000000156e+03,-8.153091999999999562e-01,-8.219674999999999621e-01,-8.577516000000000307e-03,2.203759999999999886e-01,7.300000000000000000e+01,1.764392000000000044e-02,-8.828170000000000073e+03,1.532883999999999913e-01,0.000000000000000000e+00
2.100000000000000000e+01,6.222993999999999748e-02,-3.529235000000000011e-01,9.335803999999999769e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.427567000000000007e+03,8.189250000000000140e-01,8.201446000000000014e-01,-5.371151999999999697e-03,-2.435010999999999981e-01,3.400000000000000000e+01,1.762568999999999941e-02,-7.317609999999999673e+03,1.538211999999999913e-01,0.000000000000000000e+00
2.100000000000000000e+01,6.222993999999999748e-02,-3.529235000000000011e-01,9.335803999999999769e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.427634000000000015e+03,-8.159931999999999741e-01,-8.206109999999999793e-01,-8.237958999999999560e-03,2.311429000000000122e-01,7.400000000000000000e+01,1.762568999999999941e-02,-8.052764000000000124e+03,1.542771000000000003e-01,0.000000000000000000e+00
2.200000000000000000e+01,6.504975000000000340e-02,-3.689155000000000073e-01,9.271838999999999498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.438436000000000149e+03,8.171629999999999727e-01,8.190404999999999491e-01,-5.536735000000000094e-03,-2.541340000000000265e-01,3.300000000000000000e+01,1.760762999999999912e-02,-7.797572000000000116e+03,1.546991000000000060e-01,0.000000000000000000e+00
2.200000000000000000e+01,6.504975000000000340e-02,-3.689155000000000073e-01,9.271838999999999498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.438427999999999884e+03,-8.155116999999999505e-01,-8.199940999999999480e-01,-5.292566999999999758e-03,2.445525000000000060e-01,7.500000000000000000e+01,1.760762999999999912e-02,-7.965850000000000364e+03,1.554960999999999982e-01,0.000000000000000000e+00
